           NAME           TYPE              S           X            PX              Y             PY              Z             Pt    
       YI6_BH13          DRIFT        199.196   -1.33455e-09    2.40056e-10    4.95835e-11    5.15324e-12   -0.000624971   -1.20766e-11
       DRIFT_19          DRIFT        199.422   -1.28024e-09    2.40056e-10    5.07493e-11    5.15324e-12   -0.000624971   -1.20766e-11
      YI6_SXF13           SEXT        200.172    -1.1002e-09    2.40056e-10    5.46142e-11    5.15324e-12   -0.000624971   -1.20766e-11
       DRIFT_20          DRIFT        200.303   -1.06874e-09    2.40056e-10    5.52896e-11    5.15324e-12   -0.000624971   -1.20766e-11
       YI6_QF13           QUAD        201.413   -7.55635e-10    3.19571e-10    6.37763e-11    1.02603e-11   -0.000624971   -1.20766e-11
       DRIFT_21          DRIFT        201.958    -5.8139e-10    3.19571e-10    6.93707e-11    1.02603e-11   -0.000624971   -1.20766e-11
       YI6_TH13         KICKER        201.958    -5.8139e-10    3.19574e-10    6.93707e-11    1.02603e-11   -0.000624971   -1.20766e-11
       DRIFT_39          DRIFT        203.535   -7.76818e-11    3.19574e-10    8.55429e-11    1.02603e-11   -0.000624971   -1.20766e-11
    YI6_DH13_E1           MULT        203.535   -7.76818e-11    3.19574e-10    8.55429e-11    1.02603e-11   -0.000624971   -1.20766e-11
       YI6_DH13          SBEND        212.975    2.93639e-09    3.18874e-10    1.82407e-10    1.02603e-11   -0.000624971   -1.20766e-11
    YI6_DH13_E2           MULT        212.975    2.93639e-09    3.18874e-10    1.82407e-10    1.02603e-11   -0.000624971   -1.20766e-11
       DRIFT_36          DRIFT        213.989    3.25978e-09    3.18874e-10    1.92812e-10    1.02603e-11   -0.000624971   -1.20766e-11
       YI6_BV14          DRIFT        213.989    3.25978e-09    3.18874e-10    1.92812e-10    1.02603e-11   -0.000624971   -1.20766e-11
       DRIFT_19          DRIFT        214.216    3.33192e-09    3.18874e-10    1.95134e-10    1.02603e-11   -0.000624971   -1.20766e-11
      YI6_SXD14           SEXT        214.966    3.57107e-09    3.18874e-10    2.02829e-10    1.02603e-11   -0.000624971   -1.20766e-11
       DRIFT_20          DRIFT        215.097    3.61286e-09    3.18874e-10    2.04173e-10    1.02603e-11   -0.000624971   -1.20766e-11
       YI6_QD14           QUAD        216.207    4.15271e-09    6.61818e-10    2.05368e-10   -8.12636e-12   -0.000624971   -1.20766e-11
       DRIFT_21          DRIFT        216.752    4.51356e-09    6.61818e-10    2.00937e-10   -8.12636e-12   -0.000624971   -1.20766e-11
       YI6_TV14         KICKER        216.752    4.51356e-09    6.61818e-10    2.00937e-10   -8.12636e-12   -0.000624971   -1.20766e-11
       DRIFT_40          DRIFT        218.328    5.55671e-09    6.61818e-10    1.88128e-10   -8.12636e-12   -0.000624971   -1.20766e-11
    YI6_DH14_E1           MULT        218.328    5.55671e-09    6.61818e-10    1.88128e-10   -8.12636e-12   -0.000624971   -1.20766e-11
       YI6_DH14          SBEND        227.769    1.17967e-08    6.59955e-10     1.1141e-10   -8.12636e-12   -0.000624971   -1.20766e-11
    YI6_DH14_E2           MULT        227.769    1.17967e-08    6.59955e-10     1.1141e-10   -8.12636e-12   -0.000624971   -1.20766e-11
       DRIFT_36          DRIFT        228.783     1.2466e-08    6.59955e-10    1.03168e-10   -8.12636e-12   -0.000624971   -1.20766e-11
       YI6_BH15          DRIFT        228.783     1.2466e-08    6.59955e-10    1.03168e-10   -8.12636e-12   -0.000624971   -1.20766e-11
       DRIFT_19          DRIFT        229.009    1.26153e-08    6.59955e-10     1.0133e-10   -8.12636e-12   -0.000624971   -1.20766e-11
      YI6_SXF15           SEXT        229.759    1.31103e-08    6.59955e-10    9.52353e-11   -8.12636e-12   -0.000624971   -1.20766e-11
       DRIFT_20          DRIFT         229.89    1.31968e-08    6.59955e-10    9.41703e-11   -8.12636e-12   -0.000624971   -1.20766e-11
       YI6_QF15           QUAD            231    1.32894e-08   -4.94427e-10    8.95607e-11   -2.45644e-13   -0.000624971   -1.20766e-11
       DRIFT_21          DRIFT        231.545    1.30198e-08   -4.94427e-10    8.94268e-11   -2.45644e-13   -0.000624971   -1.20766e-11
       YI6_TH15         KICKER        231.545    1.30198e-08   -4.94427e-10    8.94268e-11   -2.45644e-13   -0.000624971   -1.20766e-11
       DRIFT_41          DRIFT        233.122    1.22405e-08   -4.94427e-10    8.90396e-11   -2.45644e-13   -0.000624971   -1.20766e-11
    YI6_DH15_E1           MULT        233.122    1.22405e-08   -4.94427e-10    8.90396e-11   -2.45644e-13   -0.000624971   -1.20766e-11
       YI6_DH15          SBEND        242.562    7.56245e-09   -4.96486e-10    8.67205e-11   -2.45644e-13   -0.000624971   -1.20766e-11
    YI6_DH15_E2           MULT        242.562    7.56245e-09   -4.96486e-10    8.67205e-11   -2.45643e-13   -0.000624971   -1.20766e-11
       DRIFT_36          DRIFT        243.576    7.05893e-09   -4.96486e-10    8.64714e-11   -2.45643e-13   -0.000624971   -1.20766e-11
       YI6_BV16          DRIFT        243.576    7.05893e-09   -4.96486e-10    8.64714e-11   -2.45643e-13   -0.000624971   -1.20766e-11
       DRIFT_19          DRIFT        243.803    6.94661e-09   -4.96486e-10    8.64158e-11   -2.45643e-13   -0.000624971   -1.20766e-11
      YI6_SXD16           SEXT        244.553    6.57425e-09   -4.96486e-10    8.62316e-11   -2.45644e-13   -0.000624971   -1.20766e-11
       DRIFT_20          DRIFT        244.684    6.50918e-09   -4.96486e-10    8.61994e-11   -2.45644e-13   -0.000624971   -1.20766e-11
       YI6_QD16           QUAD        245.794    6.27332e-09    6.80168e-11     8.1706e-11   -7.78388e-12   -0.000624971   -1.20766e-11
       DRIFT_21          DRIFT        246.339    6.31041e-09    6.80168e-11    7.74618e-11   -7.78388e-12   -0.000624971   -1.20766e-11
       YI6_TV16         KICKER        246.339    6.31041e-09    6.80168e-11    7.74618e-11   -7.78388e-12   -0.000624971   -1.20766e-11
       DRIFT_42          DRIFT        247.915    6.41762e-09    6.80168e-11    6.51929e-11   -7.78388e-12   -0.000624971   -1.20766e-11
    YI6_DH16_E1           MULT        247.915    6.41762e-09    6.80168e-11    6.51929e-11   -7.78388e-12   -0.000624971   -1.20766e-11
       YI6_DH16          SBEND        257.356    7.05251e-09    6.64657e-11   -8.29203e-12   -7.78388e-12   -0.000624972   -1.20766e-11
    YI6_DH16_E2           MULT        257.356    7.05251e-09    6.64657e-11   -8.29203e-12   -7.78388e-12   -0.000624972   -1.20766e-11
       DRIFT_36          DRIFT         258.37    7.11991e-09    6.64657e-11   -1.61861e-11   -7.78388e-12   -0.000624972   -1.20766e-11
       YI6_BH17          DRIFT         258.37    7.11991e-09    6.64657e-11   -1.61861e-11   -7.78388e-12   -0.000624972   -1.20766e-11
       DRIFT_19          DRIFT        258.596    7.13495e-09    6.64657e-11   -1.79471e-11   -7.78388e-12   -0.000624972   -1.20766e-11
      YI6_SXF17           SEXT        259.346     7.1848e-09    6.64657e-11    -2.3785e-11   -7.78388e-12   -0.000624972   -1.20766e-11
       DRIFT_20          DRIFT        259.477    7.19351e-09    6.64657e-11   -2.48051e-11   -7.78388e-12   -0.000624972   -1.20766e-11
       YI6_QF17           QUAD        260.587    6.92364e-09   -5.48821e-10    -3.4784e-11   -1.03398e-11   -0.000624972   -1.20766e-11
       DRIFT_21          DRIFT        261.133    6.62439e-09   -5.48821e-10   -4.04218e-11   -1.03398e-11   -0.000624972   -1.20766e-11
       YI6_TH17         KICKER        261.133    6.62439e-09   -5.48821e-10   -4.04218e-11   -1.03398e-11   -0.000624972   -1.20766e-11
       DRIFT_43          DRIFT        262.709    5.75935e-09   -5.48821e-10   -5.67193e-11   -1.03398e-11   -0.000624972   -1.20766e-11
    YI6_DH17_E1           MULT        262.709    5.75935e-09   -5.48821e-10   -5.67193e-11   -1.03398e-11   -0.000624972   -1.20766e-11
       YI6_DH17          SBEND        272.149     5.7284e-10     -5.498e-10   -1.54334e-10   -1.03398e-11   -0.000624972   -1.20766e-11
    YI6_DH17_E2           MULT        272.149     5.7284e-10     -5.498e-10   -1.54334e-10   -1.03398e-11   -0.000624972   -1.20766e-11
       DRIFT_36          DRIFT        273.164    1.52546e-11     -5.498e-10    -1.6482e-10   -1.03398e-11   -0.000624972   -1.20766e-11
       YI6_BV18          DRIFT        273.164    1.52546e-11     -5.498e-10    -1.6482e-10   -1.03398e-11   -0.000624972   -1.20766e-11
       DRIFT_19          DRIFT         273.39   -1.09125e-10     -5.498e-10   -1.67159e-10   -1.03398e-11   -0.000624972   -1.20766e-11
      YI6_SXD18           SEXT         274.14   -5.21475e-10     -5.498e-10   -1.74914e-10   -1.03398e-11   -0.000624972   -1.20766e-11
       DRIFT_20          DRIFT        274.271   -5.93527e-10     -5.498e-10   -1.76269e-10   -1.03398e-11   -0.000624972   -1.20766e-11
       YI6_QD18           QUAD        275.381   -1.24348e-09   -6.30926e-10   -1.78918e-10    5.60659e-12   -0.000624972   -1.20766e-11
       DRIFT_21          DRIFT        275.926    -1.5875e-09   -6.30926e-10   -1.75861e-10    5.60659e-12   -0.000624972   -1.20766e-11
       YI6_TV18         KICKER        275.926    -1.5875e-09   -6.30926e-10   -1.75861e-10    5.60659e-12   -0.000624972   -1.20766e-11
       DRIFT_44          DRIFT        277.502   -2.58195e-09   -6.30926e-10   -1.67024e-10    5.60659e-12   -0.000624972   -1.20766e-11
    YI6_DH18_E1           MULT        277.502   -2.58195e-09   -6.30926e-10   -1.67024e-10    5.60659e-12   -0.000624972   -1.20766e-11
       YI6_DH18          SBEND        286.943   -8.53709e-09   -6.30504e-10   -1.14094e-10    5.60659e-12   -0.000624971   -1.20766e-11
    YI6_DH18_E2           MULT        286.943   -8.53709e-09   -6.30504e-10   -1.14094e-10    5.60659e-12   -0.000624971   -1.20766e-11
       DRIFT_36          DRIFT        287.957   -9.17652e-09   -6.30504e-10   -1.08408e-10    5.60659e-12   -0.000624971   -1.20766e-11
       YI6_BH19          DRIFT        287.957   -9.17652e-09   -6.30504e-10   -1.08408e-10    5.60659e-12   -0.000624971   -1.20766e-11
       DRIFT_19          DRIFT        288.183   -9.31916e-09   -6.30504e-10    -1.0714e-10    5.60659e-12   -0.000624971   -1.20766e-11
      YI6_SXF19           SEXT        288.933   -9.79203e-09   -6.30504e-10   -1.02935e-10    5.60659e-12   -0.000624971   -1.20766e-11
       DRIFT_20          DRIFT        289.064   -9.87466e-09   -6.30504e-10     -1.022e-10    5.60659e-12   -0.000624971   -1.20766e-11
       YI6_QF19           QUAD        290.174   -1.00933e-08    2.39785e-10   -1.00821e-10   -3.10153e-12   -0.000624971   -1.20766e-11
       DRIFT_21          DRIFT         290.72   -9.96252e-09    2.39785e-10   -1.02512e-10   -3.10153e-12   -0.000624971   -1.20766e-11
       YI6_TH19         KICKER         290.72   -9.96252e-09    2.39785e-10   -1.02512e-10   -3.10153e-12   -0.000624971   -1.20766e-11
       DRIFT_45          DRIFT        292.296   -9.58457e-09    2.39785e-10   -1.07401e-10   -3.10153e-12   -0.000624971   -1.20766e-11
    YI6_DH19_E1           MULT        292.296   -9.58457e-09    2.39785e-10   -1.07401e-10   -3.10153e-12   -0.000624971   -1.20766e-11
       YI6_DH19          SBEND        301.736   -7.31637e-09    2.40672e-10   -1.36681e-10   -3.10153e-12   -0.000624971   -1.20766e-11
    YI6_DH19_E2           MULT        301.736   -7.31637e-09    2.40672e-10   -1.36681e-10   -3.10153e-12   -0.000624971   -1.20766e-11
       DRIFT_36          DRIFT        302.751   -7.07229e-09    2.40672e-10   -1.39826e-10   -3.10153e-12   -0.000624971   -1.20766e-11
       YI6_BV20          DRIFT        302.751   -7.07229e-09    2.40672e-10   -1.39826e-10   -3.10153e-12   -0.000624971   -1.20766e-11
       DRIFT_19          DRIFT        302.977   -7.01785e-09    2.40672e-10   -1.40528e-10   -3.10153e-12   -0.000624971   -1.20766e-11
      YI6_SXD20           SEXT        303.727   -6.83734e-09    2.40672e-10   -1.42854e-10   -3.10153e-12   -0.000624971   -1.20766e-11
       DRIFT_20          DRIFT        303.858    -6.8058e-09    2.40672e-10   -1.43261e-10   -3.10153e-12   -0.000624971   -1.20766e-11
       YI6_QD20           QUAD        304.968   -6.87338e-09   -3.63431e-10   -1.39625e-10    9.59883e-12   -0.000624971   -1.20766e-11
       DRIFT_21          DRIFT        305.513   -7.07154e-09   -3.63431e-10   -1.34391e-10    9.59883e-12   -0.000624971   -1.20766e-11
