           NAME           TYPE              S          BETA1          ALFA1            MU1          BETA2          ALFA2            MU2           ETAX          ETAXP           ETAY          ETAYP
    YI6_DH15_E2           MULT        242.562        14.7167       0.807288        1.84372        38.3364       -1.82302         1.5191         1.1537     -0.0466009    1.53614e-05    8.89058e-08
       DRIFT_36          DRIFT        243.576        13.1947       0.693465        1.85531        42.1501       -1.93739        1.52312        1.10643     -0.0466009    1.54515e-05    8.89058e-08
       YI6_BV16          DRIFT        243.576        13.1947       0.693465        1.85531        42.1501       -1.93739        1.52312        1.10643     -0.0466009    1.54515e-05    8.89058e-08
       DRIFT_19          DRIFT        243.803        12.8867       0.668074        1.85807        43.0324        -1.9629        1.52396        1.09589     -0.0466009    1.54716e-05    8.89058e-08
      YI6_SXD16           SEXT        244.553        11.9477       0.583899         1.8677        46.0402       -2.04748        1.52664        1.06094     -0.0466009    1.55383e-05    8.88715e-08
       DRIFT_20          DRIFT        244.684        11.7966        0.56919        1.86946        46.5788       -2.06226        1.52709        1.05483     -0.0466009      1.555e-05    8.88715e-08
       YI6_QD16           QUAD        245.794        11.7959      -0.568581         1.8847        46.5413        2.09497        1.53083        1.05482      0.0465659    1.48848e-05   -1.27752e-06
       DRIFT_21          DRIFT        246.339        12.4493      -0.629748        1.89187        44.2911        2.03184        1.53274        1.08021      0.0465659    1.41882e-05   -1.27752e-06
       YI6_TV16         KICKER        246.339        12.4493      -0.629748        1.89187        44.2911        2.03184        1.53274        1.08021      0.0465659    1.41882e-05   -1.27752e-06
       DRIFT_42          DRIFT        247.915        14.7132      -0.806567        1.91044        38.1736        1.84934        1.53884         1.1536      0.0465659    1.21746e-05   -1.27752e-06
    YI6_DH16_E1           MULT        247.915        14.7132      -0.806567        1.91044        38.1736        1.84934        1.53884         1.1536      0.0465659    1.21746e-05   -1.27752e-06
       YI6_DH16          SBEND        257.356        39.8978       -1.85976        1.97413        13.5755       0.756223         1.6069        1.77594      0.0852597    1.14076e-07   -1.27752e-06
    YI6_DH16_E2           MULT        257.356        39.8978       -1.85976        1.97413        13.5755       0.756223         1.6069        1.77594      0.0852597    1.14076e-07   -1.27752e-06
       DRIFT_36          DRIFT         258.37         43.785        -1.9731        1.97799        12.1607       0.638796        1.61947        1.86241      0.0852597   -1.18152e-06   -1.27752e-06
       YI6_BH17          DRIFT         258.37         43.785        -1.9731        1.97799        12.1607       0.638796        1.61947        1.86241      0.0852597   -1.18152e-06   -1.27752e-06
       DRIFT_19          DRIFT        258.596        44.6834       -1.99838         1.9788        11.8776       0.612601        1.62247         1.8817      0.0852597   -1.47053e-06   -1.27752e-06
      YI6_SXF17           SEXT        259.346        47.7439        -2.0822        1.98139        11.0238        0.52576        1.63291        1.94564      0.0852597   -2.42867e-06   -1.27752e-06
       DRIFT_20          DRIFT        259.477        48.2915       -2.09684        1.98182         10.888       0.510586        1.63481        1.95681      0.0852597   -2.59608e-06   -1.27752e-06
       YI6_QF17           QUAD        260.587        48.2989        2.09037        1.98542        10.9068      -0.528032        1.65131        1.95678      -0.085312   -4.16251e-06   -1.56742e-06
       DRIFT_21          DRIFT        261.133        46.0524        2.02976        1.98726        11.5174      -0.591963        1.65906        1.91027      -0.085312   -5.01714e-06   -1.56742e-06
       YI6_TH17         KICKER        261.133        46.0524        2.02976        1.98726        11.5174      -0.591963        1.65906        1.91027      -0.085312   -5.01714e-06   -1.56742e-06
       DRIFT_43          DRIFT        262.709        39.9301        1.85452        1.99311        13.6748       -0.77677         1.6791         1.7758      -0.085312   -7.48766e-06   -1.56742e-06
    YI6_DH17_E1           MULT        262.709        39.9301        1.85452        1.99311        13.6748       -0.77677         1.6791         1.7758      -0.085312   -7.48766e-06   -1.56742e-06
       YI6_DH17          SBEND        272.149        14.7928       0.806796        2.05659        38.7913       -1.88369        1.74632        1.15297     -0.0466181    -2.2285e-05   -1.56742e-06
    YI6_DH17_E2           MULT        272.149        14.7928       0.806796        2.05659        38.7913       -1.88369        1.74632        1.15297     -0.0466181    -2.2285e-05   -1.56742e-06
       DRIFT_36          DRIFT        273.164        13.2712       0.693613        2.06812        42.7326        -2.0026        1.75028        1.10569     -0.0466181   -2.38746e-05   -1.56742e-06
       YI6_BV18          DRIFT        273.164        13.2712       0.693613        2.06812        42.7326        -2.0026        1.75028        1.10569     -0.0466181   -2.38746e-05   -1.56742e-06
       DRIFT_19          DRIFT         273.39         12.963       0.668365        2.07087        43.6447       -2.02912        1.75112        1.09514     -0.0466181   -2.42292e-05   -1.56742e-06
      YI6_SXD18           SEXT         274.14        12.0233       0.584663        2.08043        46.7543       -2.11706        1.75376        1.06018     -0.0466181   -2.54047e-05   -1.56736e-06
       DRIFT_20          DRIFT        274.271        11.8719       0.570037        2.08218        47.3112       -2.13243         1.7542        1.05407     -0.0466181   -2.56101e-05   -1.56736e-06
       YI6_QD18           QUAD        275.381        11.8762      -0.573975        2.09733        47.3547        2.09459        1.75788        1.05399      0.0464785   -2.60661e-05    7.52678e-07
       DRIFT_21          DRIFT        275.926        12.5354      -0.635012        2.10444        45.1043        2.03256        1.75975        1.07934      0.0464785   -2.56557e-05    7.52678e-07
